Index,LowerBound,UpperBound,mcmean,truemean
+1,+2.15838e+00,+6.07830e+00,+4.11834e+00,+3.00000e+00
+2,+2.76086e+00,+5.53266e+00,+4.14676e+00,+3.00000e+00
+3,+2.95810e+00,+5.22127e+00,+4.08968e+00,+3.00000e+00
+4,+2.76522e+00,+4.72519e+00,+3.74520e+00,+3.00000e+00
+5,+2.55731e+00,+4.31036e+00,+3.43383e+00,+3.00000e+00
+6,+2.38586e+00,+3.98616e+00,+3.18601e+00,+3.00000e+00
+7,+2.28260e+00,+3.76420e+00,+3.02340e+00,+3.00000e+00
+8,+2.36823e+00,+3.75413e+00,+3.06118e+00,+3.00000e+00
+9,+2.40059e+00,+3.70723e+00,+3.05391e+00,+3.00000e+00
+10,+2.52221e+00,+3.76180e+00,+3.14201e+00,+3.00000e+00
+11,+2.46425e+00,+3.64615e+00,+3.05520e+00,+3.00000e+00
+12,+2.49071e+00,+3.62229e+00,+3.05650e+00,+3.00000e+00
+13,+2.52749e+00,+3.61468e+00,+3.07108e+00,+3.00000e+00
+14,+2.61123e+00,+3.65888e+00,+3.13505e+00,+3.00000e+00
+15,+2.66419e+00,+3.67632e+00,+3.17026e+00,+3.00000e+00
+16,+2.65336e+00,+3.63334e+00,+3.14335e+00,+3.00000e+00
+17,+2.61611e+00,+3.56684e+00,+3.09148e+00,+3.00000e+00
+18,+2.67209e+00,+3.59603e+00,+3.13406e+00,+3.00000e+00
+19,+2.71508e+00,+3.61438e+00,+3.16473e+00,+3.00000e+00
+20,+2.69818e+00,+3.57470e+00,+3.13644e+00,+3.00000e+00
+21,+2.72132e+00,+3.57672e+00,+3.14902e+00,+3.00000e+00
+22,+2.67208e+00,+3.50781e+00,+3.08994e+00,+3.00000e+00
+23,+2.68288e+00,+3.50025e+00,+3.09156e+00,+3.00000e+00
+24,+2.72212e+00,+3.52227e+00,+3.12219e+00,+3.00000e+00
+25,+2.67936e+00,+3.46334e+00,+3.07135e+00,+3.00000e+00
+26,+2.62035e+00,+3.38911e+00,+3.00473e+00,+3.00000e+00
+27,+2.53071e+00,+3.28510e+00,+2.90791e+00,+3.00000e+00
+28,+2.53695e+00,+3.27775e+00,+2.90735e+00,+3.00000e+00
+29,+2.51206e+00,+3.23997e+00,+2.87602e+00,+3.00000e+00
+30,+2.51568e+00,+3.23136e+00,+2.87352e+00,+3.00000e+00
+31,+2.56209e+00,+3.26613e+00,+2.91411e+00,+3.00000e+00
+32,+2.60270e+00,+3.29565e+00,+2.94918e+00,+3.00000e+00
+33,+2.59682e+00,+3.27919e+00,+2.93800e+00,+3.00000e+00
+34,+2.63916e+00,+3.31142e+00,+2.97529e+00,+3.00000e+00
+35,+2.65335e+00,+3.31594e+00,+2.98465e+00,+3.00000e+00
+36,+2.66597e+00,+3.31929e+00,+2.99263e+00,+3.00000e+00
+37,+2.64155e+00,+3.28599e+00,+2.96377e+00,+3.00000e+00
+38,+2.64509e+00,+3.28098e+00,+2.96303e+00,+3.00000e+00
+39,+2.63621e+00,+3.26390e+00,+2.95006e+00,+3.00000e+00
+40,+2.63514e+00,+3.25493e+00,+2.94503e+00,+3.00000e+00
+41,+2.66000e+00,+3.27219e+00,+2.96609e+00,+3.00000e+00
+42,+2.63924e+00,+3.24409e+00,+2.94166e+00,+3.00000e+00
+43,+2.67882e+00,+3.27661e+00,+2.97771e+00,+3.00000e+00
+44,+2.68838e+00,+3.27934e+00,+2.98386e+00,+3.00000e+00
+45,+2.68172e+00,+3.26606e+00,+2.97389e+00,+3.00000e+00
+46,+2.68390e+00,+3.26186e+00,+2.97288e+00,+3.00000e+00
+47,+2.64845e+00,+3.22024e+00,+2.93435e+00,+3.00000e+00
+48,+2.65428e+00,+3.22007e+00,+2.93717e+00,+3.00000e+00
+49,+2.62494e+00,+3.18493e+00,+2.90494e+00,+3.00000e+00
+50,+2.63208e+00,+3.18645e+00,+2.90927e+00,+3.00000e+00
+51,+2.62279e+00,+3.17169e+00,+2.89724e+00,+3.00000e+00
+52,+2.58301e+00,+3.12661e+00,+2.85481e+00,+3.00000e+00
+53,+2.63582e+00,+3.17426e+00,+2.90504e+00,+3.00000e+00
+54,+2.62413e+00,+3.15757e+00,+2.89085e+00,+3.00000e+00
+55,+2.63444e+00,+3.16300e+00,+2.89872e+00,+3.00000e+00
+56,+2.61948e+00,+3.14330e+00,+2.88139e+00,+3.00000e+00
+57,+2.61971e+00,+3.13892e+00,+2.87932e+00,+3.00000e+00
+58,+2.63674e+00,+3.15145e+00,+2.89409e+00,+3.00000e+00
+59,+2.67006e+00,+3.18039e+00,+2.92523e+00,+3.00000e+00
+60,+2.69271e+00,+3.19877e+00,+2.94574e+00,+3.00000e+00
+61,+2.68673e+00,+3.18862e+00,+2.93768e+00,+3.00000e+00
+62,+2.69386e+00,+3.19169e+00,+2.94278e+00,+3.00000e+00
+63,+2.68644e+00,+3.18031e+00,+2.93338e+00,+3.00000e+00
+64,+2.68317e+00,+3.17316e+00,+2.92817e+00,+3.00000e+00
+65,+2.67506e+00,+3.16127e+00,+2.91817e+00,+3.00000e+00
+66,+2.68893e+00,+3.17144e+00,+2.93018e+00,+3.00000e+00
+67,+2.67930e+00,+3.15819e+00,+2.91875e+00,+3.00000e+00
+68,+2.65041e+00,+3.12577e+00,+2.88809e+00,+3.00000e+00
+69,+2.64535e+00,+3.11725e+00,+2.88130e+00,+3.00000e+00
+70,+2.66075e+00,+3.12927e+00,+2.89501e+00,+3.00000e+00
+71,+2.69025e+00,+3.15546e+00,+2.92285e+00,+3.00000e+00
+72,+2.69753e+00,+3.15950e+00,+2.92852e+00,+3.00000e+00
+73,+2.68828e+00,+3.14708e+00,+2.91768e+00,+3.00000e+00
+74,+2.68421e+00,+3.13989e+00,+2.91205e+00,+3.00000e+00
+75,+2.70058e+00,+3.15321e+00,+2.92690e+00,+3.00000e+00
+76,+2.70398e+00,+3.15363e+00,+2.92880e+00,+3.00000e+00
+77,+2.70755e+00,+3.15426e+00,+2.93090e+00,+3.00000e+00
+78,+2.71469e+00,+3.15853e+00,+2.93661e+00,+3.00000e+00
+79,+2.70377e+00,+3.14480e+00,+2.92429e+00,+3.00000e+00
+80,+2.70428e+00,+3.14254e+00,+2.92341e+00,+3.00000e+00
+81,+2.71089e+00,+3.14643e+00,+2.92866e+00,+3.00000e+00
+82,+2.70531e+00,+3.13819e+00,+2.92175e+00,+3.00000e+00
+83,+2.69892e+00,+3.12919e+00,+2.91405e+00,+3.00000e+00
+84,+2.71043e+00,+3.13813e+00,+2.92428e+00,+3.00000e+00
+85,+2.71278e+00,+3.13796e+00,+2.92537e+00,+3.00000e+00
+86,+2.69106e+00,+3.11376e+00,+2.90241e+00,+3.00000e+00
+87,+2.69116e+00,+3.11142e+00,+2.90129e+00,+3.00000e+00
+88,+2.68961e+00,+3.10747e+00,+2.89854e+00,+3.00000e+00
+89,+2.70024e+00,+3.11575e+00,+2.90799e+00,+3.00000e+00
+90,+2.71738e+00,+3.13057e+00,+2.92398e+00,+3.00000e+00
+91,+2.71591e+00,+3.12683e+00,+2.92137e+00,+3.00000e+00
+92,+2.72475e+00,+3.13343e+00,+2.92909e+00,+3.00000e+00
+93,+2.71835e+00,+3.12483e+00,+2.92159e+00,+3.00000e+00
+94,+2.72050e+00,+3.12481e+00,+2.92265e+00,+3.00000e+00
+95,+2.72875e+00,+3.13093e+00,+2.92984e+00,+3.00000e+00
+96,+2.72687e+00,+3.12695e+00,+2.92691e+00,+3.00000e+00
+97,+2.72532e+00,+3.12333e+00,+2.92432e+00,+3.00000e+00
+98,+2.72777e+00,+3.12374e+00,+2.92575e+00,+3.00000e+00
+99,+2.74279e+00,+3.13676e+00,+2.93978e+00,+3.00000e+00
+100,+2.74713e+00,+3.13912e+00,+2.94313e+00,+3.00000e+00
+101,+2.73619e+00,+3.12624e+00,+2.93121e+00,+3.00000e+00
+102,+2.74053e+00,+3.12866e+00,+2.93459e+00,+3.00000e+00
+103,+2.74761e+00,+3.13385e+00,+2.94073e+00,+3.00000e+00
+104,+2.75410e+00,+3.13848e+00,+2.94629e+00,+3.00000e+00
+105,+2.75645e+00,+3.13899e+00,+2.94772e+00,+3.00000e+00
+106,+2.75803e+00,+3.13876e+00,+2.94840e+00,+3.00000e+00
+107,+2.76589e+00,+3.14485e+00,+2.95537e+00,+3.00000e+00
+108,+2.78080e+00,+3.15800e+00,+2.96940e+00,+3.00000e+00
+109,+2.79038e+00,+3.16585e+00,+2.97811e+00,+3.00000e+00
+110,+2.78173e+00,+3.15548e+00,+2.96860e+00,+3.00000e+00
+111,+2.79040e+00,+3.16246e+00,+2.97643e+00,+3.00000e+00
+112,+2.79537e+00,+3.16577e+00,+2.98057e+00,+3.00000e+00
+113,+2.80696e+00,+3.17571e+00,+2.99133e+00,+3.00000e+00
+114,+2.80891e+00,+3.17605e+00,+2.99248e+00,+3.00000e+00
+115,+2.80446e+00,+3.16999e+00,+2.98723e+00,+3.00000e+00
+116,+2.81324e+00,+3.17720e+00,+2.99522e+00,+3.00000e+00
+117,+2.81120e+00,+3.17360e+00,+2.99240e+00,+3.00000e+00
+118,+2.80423e+00,+3.16509e+00,+2.98466e+00,+3.00000e+00
+119,+2.81299e+00,+3.17233e+00,+2.99266e+00,+3.00000e+00
+120,+2.81321e+00,+3.17105e+00,+2.99213e+00,+3.00000e+00
+121,+2.82229e+00,+3.17865e+00,+3.00047e+00,+3.00000e+00
+122,+2.82600e+00,+3.18089e+00,+3.00345e+00,+3.00000e+00
+123,+2.83650e+00,+3.18995e+00,+3.01323e+00,+3.00000e+00
+124,+2.83922e+00,+3.19124e+00,+3.01523e+00,+3.00000e+00
+125,+2.84092e+00,+3.19152e+00,+3.01622e+00,+3.00000e+00
+126,+2.85110e+00,+3.20032e+00,+3.02571e+00,+3.00000e+00
+127,+2.86288e+00,+3.21072e+00,+3.03680e+00,+3.00000e+00
+128,+2.86604e+00,+3.21252e+00,+3.03928e+00,+3.00000e+00
+129,+2.86462e+00,+3.20975e+00,+3.03718e+00,+3.00000e+00
+130,+2.86857e+00,+3.21237e+00,+3.04047e+00,+3.00000e+00
+131,+2.85747e+00,+3.19996e+00,+3.02871e+00,+3.00000e+00
+132,+2.86781e+00,+3.20899e+00,+3.03840e+00,+3.00000e+00
+133,+2.85591e+00,+3.19581e+00,+3.02586e+00,+3.00000e+00
+134,+2.85622e+00,+3.19485e+00,+3.02553e+00,+3.00000e+00
